variable,wind_speed,wind_speed,pressure,temperature,roughness_length
height,10,100,0,2,0
time,,,,,
2015-01-11 11:00:00+00:00,2.9154694,5.662525,100207.71,292.89722,0.09020864
2015-01-11 12:00:00+00:00,1.8380826,3.716938,100238.8,292.7418,0.09047395
2015-01-11 13:00:00+00:00,1.9394271,3.7264748,100248.28,292.57602,0.09160612
2015-01-11 14:00:00+00:00,3.2726147,5.066893,100263.766,290.45367,0.092126235
2015-01-11 15:00:00+00:00,4.9736304,6.9401827,100335.2,289.64722,0.09267524
2015-01-11 16:00:00+00:00,5.485511,7.292063,100419.914,288.81604,0.09297733
2015-01-11 17:00:00+00:00,5.055051,6.5106673,100520.32,288.15866,0.09267786
2015-01-11 18:00:00+00:00,4.272311,5.4203434,100609.04,288.09076,0.09220766
2015-01-11 19:00:00+00:00,3.5405982,4.3882675,100668.36,288.0044,0.09176636
2015-01-11 20:00:00+00:00,3.0467305,3.6630793,100730.52,289.03305,0.0912909
2015-01-11 21:00:00+00:00,2.6806624,3.1723092,100770.766,289.14645,0.0908601
2015-01-11 22:00:00+00:00,2.145258,2.473989,100851.266,289.2587,0.09056064
2015-01-11 23:00:00+00:00,2.3509412,2.7218664,100819.87,289.34387,0.09040303
2015-01-12 00:00:00+00:00,2.89437,3.3190835,100847.79,289.59888,0.09029007
2015-01-12 01:00:00+00:00,2.9513772,3.3445995,100808.38,289.91202,0.090240166
2015-01-12 02:00:00+00:00,2.8147151,3.1231813,100795.63,290.3708,0.09021915
2015-01-12 03:00:00+00:00,3.0877628,3.4338167,100757.81,290.54462,0.090213895
2015-01-12 04:00:00+00:00,3.572359,4.0524898,100715.14,290.76395,0.09021652
2015-01-12 05:00:00+00:00,3.9128714,4.471902,100722.09,290.23608,0.09021915
2015-01-12 06:00:00+00:00,4.5163093,5.2404265,100747.06,289.95175,0.0902244
2015-01-12 07:00:00+00:00,4.7734184,5.699866,100801.33,289.539,0.0902244
2015-01-12 08:00:00+00:00,4.342491,5.3555694,100877.4,288.4833,0.09021915
2015-01-12 09:00:00+00:00,4.25439,5.35124,100984.125,288.38663,0.09021652
2015-01-12 10:00:00+00:00,4.680439,5.9065013,101006.99,287.80582,0.09021652
2015-01-12 11:00:00+00:00,4.4484115,5.641084,100974.33,287.73212,0.090213895
2015-01-12 12:00:00+00:00,4.308729,5.460212,100954.2,287.78278,0.090213895
2015-01-12 13:00:00+00:00,4.22555,5.4669523,100891.516,287.90942,0.09021652
2015-01-12 14:00:00+00:00,4.111398,5.45164,100852.53,288.08728,0.09021652
2015-01-12 15:00:00+00:00,3.7460992,5.3712177,100807.86,287.99692,0.09021915
2015-01-12 16:00:00+00:00,3.7128086,5.1881995,100769.19,288.26227,0.09021652
2015-01-12 17:00:00+00:00,3.5237722,4.951209,100765.92,288.09363,0.09021915
2015-01-12 18:00:00+00:00,3.5220864,4.502696,100813.016,288.23984,0.09021915
2015-01-12 19:00:00+00:00,3.7208214,4.3881435,100848.42,288.7009,0.09021915
2015-01-12 20:00:00+00:00,3.237432,3.7581623,100874.66,290.262,0.09021652
2015-01-12 21:00:00+00:00,2.9925208,3.4436853,100873.6,290.61542,0.090213895
2015-01-12 22:00:00+00:00,2.0570092,2.305006,100858.12,291.17667,0.09021127
2015-01-12 23:00:00+00:00,2.0308192,2.250244,100831.46,291.29178,0.09020864
2015-01-13 00:00:00+00:00,2.241032,2.480133,100775.41,291.33496,0.09021127
2015-01-13 01:00:00+00:00,2.776711,3.0904825,100764.555,291.47137,0.09022178
2015-01-13 02:00:00+00:00,3.0754933,3.4367547,100698.28,291.92554,0.0902244
2015-01-13 03:00:00+00:00,3.3739555,3.823757,100659.61,292.1535,0.09040828
2015-01-13 04:00:00+00:00,3.5862787,4.0813255,100596.71,292.1984,0.09033999
2015-01-13 05:00:00+00:00,3.795026,4.3917956,100603.77,291.64005,0.09027168
2015-01-13 06:00:00+00:00,3.987573,4.679037,100614.73,291.44604,0.090240166
2015-01-13 07:00:00+00:00,4.3365684,5.2495885,100656.664,291.00916,0.09022966
2015-01-13 08:00:00+00:00,4.1279197,5.224067,100708.71,289.89877,0.09022178
2015-01-13 09:00:00+00:00,3.5204206,4.5113196,100777.62,289.65012,0.09021915
2015-01-13 10:00:00+00:00,2.8114738,3.5476577,100799.11,288.93115,0.090213895
2015-01-13 11:00:00+00:00,2.5141408,3.1027918,100811.86,288.81372,0.090213895
2015-01-13 12:00:00+00:00,2.6297889,3.1824389,100805.96,288.73773,0.090234905
2015-01-13 13:00:00+00:00,2.7143402,3.2478914,100742.95,288.79013,0.09024542
2015-01-13 14:00:00+00:00,2.6933758,3.2603064,100743.06,288.58636,0.090261176
2015-01-13 15:00:00+00:00,2.676915,3.3433619,100704.5,288.6704,0.09027694
2015-01-13 16:00:00+00:00,3.148005,3.8661218,100695.75,288.76654,0.09030846
2015-01-13 17:00:00+00:00,3.3011103,4.1177893,100714.19,288.92712,0.09036888
2015-01-13 18:00:00+00:00,3.7334657,4.6311464,100732.836,288.9559,0.0904004
2015-01-13 19:00:00+00:00,4.6081896,5.706672,100760.445,288.9507,0.09041354
2015-01-13 20:00:00+00:00,4.5708847,5.8432493,100776.14,289.76755,0.090437174
2015-01-13 21:00:00+00:00,5.185115,6.4097204,100789.734,289.64206,0.09040566
